""	"ID"	"Year_Birth"	"Education"	"Marital_Status"	"Income"	"Kidhome"	"Teenhome"	"Dt_Customer"	"Recency"	"MntWines"	"MntFruits"	"MntMeatProducts"	"MntFishProducts"	"MntSweetProducts"	"MntGoldProds"	"NumDealsPurchases"	"NumWebPurchases"	"NumCatalogPurchases"	"NumStorePurchases"	"NumWebVisitsMonth"	"AcceptedCmp3"	"AcceptedCmp4"	"AcceptedCmp5"	"AcceptedCmp1"	"AcceptedCmp2"	"Complain"	"Z_CostContact"	"Z_Revenue"	"Response"	"Kid_Status"
"1"	738	1981	"2n Cycle"	"Single"	42395	1	1	"04-04-2014"	35	48	13	57	24	15	25	4	3	1	4	7	0	0	0	0	0	0	3	11	0	1
"2"	10846	1978	"Master"	"Married"	43783	1	0	"29-05-2014"	22	327	9	125	25	4	139	6	7	1	8	7	1	0	0	0	0	0	3	11	0	1
"3"	9240	1971	"PhD"	"Single"	60504	0	1	"07-02-2014"	73	458	0	24	6	4	34	2	6	2	8	6	0	0	0	0	0	0	3	11	0	0
"4"	4796	1952	"Graduation"	"Divorced"	49638	0	1	"19-04-2014"	71	18	10	3	3	5	0	1	1	0	3	2	0	0	0	0	0	0	3	11	0	0
"5"	7349	1973	"Basic"	"Together"	9722	1	0	"02-10-2012"	7	6	17	16	6	16	42	4	3	1	3	8	0	0	0	0	0	0	3	11	1	1
"6"	5726	1983	"Master"	"Single"	31788	1	0	"20-03-2014"	15	16	7	23	0	8	6	3	3	0	4	5	0	0	0	0	0	1	3	11	0	1
"7"	1992	1964	"Graduation"	"Married"	60597	0	1	"01-01-2014"	2	522	0	257	32	16	66	4	2	2	8	7	0	0	0	1	0	0	3	11	1	0
"8"	2902	1958	"Graduation"	"Together"	NA	1	1	"03-09-2012"	87	19	4	12	2	2	6	1	1	0	3	5	0	0	0	0	0	0	3	11	0	1
"9"	9467	1984	"Graduation"	"Single"	34738	1	0	"11-05-2014"	51	3	2	10	3	0	2	1	1	0	3	6	0	0	0	0	0	0	3	11	0	1
"10"	5585	1972	"Graduation"	"Single"	21359	1	0	"20-04-2013"	1	12	2	17	6	1	10	2	2	0	3	8	0	0	0	0	0	0	3	11	1	1
"11"	8624	1958	"Graduation"	"Married"	81320	0	0	"06-02-2013"	61	183	33	493	59	103	57	1	4	3	10	2	0	0	0	0	0	0	3	11	0	0
"12"	8268	1961	"PhD"	"Married"	NA	0	1	"11-07-2013"	23	352	0	27	10	0	15	3	6	1	7	6	0	0	0	0	0	0	3	11	0	0
"13"	4351	1955	"Graduation"	"Divorced"	37244	1	1	"27-04-2013"	90	18	2	10	0	0	25	1	1	1	2	7	1	0	0	0	0	0	3	11	0	1
"14"	10897	1974	"Graduation"	"Married"	67445	0	1	"12-08-2012"	63	757	80	217	29	80	11	5	9	6	12	6	0	0	0	0	0	0	3	11	0	0
"15"	8427	1956	"Master"	"Single"	64857	0	0	"23-11-2012"	78	556	14	717	210	0	43	1	7	5	10	4	0	0	0	0	0	0	3	11	0	0
"16"	10556	1959	"Graduation"	"Married"	54984	0	1	"24-05-2014"	51	173	13	131	32	3	6	4	6	1	6	7	0	0	0	1	0	0	3	11	0	0
"17"	8749	1984	"Graduation"	"Together"	37235	1	0	"01-02-2014"	68	20	2	9	4	6	20	1	1	1	2	4	0	0	0	0	0	0	3	11	0	1
"18"	304	1981	"Master"	"Single"	22944	1	0	"23-12-2013"	67	19	3	19	4	5	26	3	3	0	3	7	0	0	0	0	0	0	3	11	0	1
"19"	4394	1965	"PhD"	"Married"	81051	0	0	"23-05-2014"	43	1142	29	249	38	29	14	1	5	5	12	2	0	1	1	0	0	0	3	11	0	0
"20"	10870	1967	"Graduation"	"Married"	61223	0	1	"13-06-2013"	46	709	43	182	42	118	247	2	9	3	4	5	0	0	0	0	0	0	3	11	0	0
"21"	1987	1987	"Basic"	"Single"	21063	1	0	"25-09-2013"	34	1	10	11	19	3	15	2	2	0	3	6	0	0	0	0	0	0	3	11	0	1
"22"	3972	1976	"Graduation"	"Together"	50200	1	1	"03-04-2013"	70	266	6	51	8	6	64	6	7	1	5	8	0	0	0	0	0	0	3	11	0	1
"23"	830	1987	"PhD"	"Single"	74004	0	0	"24-02-2014"	5	784	48	560	42	176	48	1	4	6	4	3	0	0	1	1	0	0	3	11	1	0
"24"	4501	1965	"Master"	"Single"	69882	0	0	"10-11-2013"	94	292	127	635	132	127	165	1	3	7	9	1	0	0	0	0	0	0	3	11	0	0
